text,unsolicited__no,unsolicited__yes,kind__personal,kind__transactional,kind__promotional,kind__scam,asks_action__no,asks_action__yes,risk__0,risk__1,risk__2,risk__3,risk__4
Where is it. Is there any opening for mca.,0.97,0.03,0.95,0.01,0.02,0.02,0.4,0.6,0.9,0.07,0.02,0.007,0.003
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",0.88,0.12,0.82,0.01,0.04,0.13,0.44999999999999996,0.55,0.65,0.25,0.08,0.015,0.005
What is important is that you prevent dehydration by giving her enough fluids,0.97,0.03,0.95,0.03,0.01,0.01,0.88,0.12,0.93,0.05,0.01,0.005,0.005
So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck,0.97,0.03,0.95,0.01,0.01,0.03,0.4,0.6,0.9,0.06,0.03,0.007,0.003
Good morning. At the repair shop--the ONLY reason i'm up at this hour.,0.97,0.03,0.95,0.02,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Boo what time u get out? U were supposed to take me shopping today. :(,0.98,0.02,0.97,0.01,0.01,0.01,0.44999999999999996,0.55,0.93,0.05,0.01,0.005,0.005
Lol or I could just starve and lose a pound by the end of the day.,0.98,0.02,0.97,0.01,0.01,0.01,0.98,0.02,0.96,0.03,0.005,0.003,0.002
I love to give massages. I use lots of baby oil... What is your fave position?,0.75,0.25,0.72,0.01,0.07,0.2,0.6,0.4,0.6,0.2,0.12,0.06,0.02
Oooh bed ridden ey? What are YOU thinking of?,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.03,0.01,0.005,0.005
Ok no prob,0.97,0.03,0.95,0.02,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
I.ll post her out l8r. In class,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",0.98,0.02,0.97,0.01,0.01,0.01,0.8,0.2,0.95,0.03,0.01,0.005,0.005
I dont know what to do to come out of this so only am ask questions like this dont mistake me.,0.97,0.03,0.95,0.01,0.01,0.03,0.95,0.05,0.93,0.04,0.02,0.007,0.003
What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,0.97,0.03,0.96,0.01,0.01,0.02,0.94,0.06,0.94,0.04,0.01,0.005,0.005
Is there any movie theatre i can go to and watch unlimited movies and just pay once?,0.97,0.03,0.96,0.01,0.02,0.01,0.88,0.12,0.95,0.04,0.01,0.0,0.0
"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",0.65,0.35,0.6,0.02,0.08,0.3,0.050000000000000044,0.95,0.1,0.4,0.35,0.13,0.02
Alright. I'm out--have a good night!,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
Lol no ouch but wish i'd stayed out a bit longer,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?",0.96,0.04,0.95,0.005,0.02,0.025,0.88,0.12,0.93,0.04,0.02,0.007,0.003
Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Ok going to sleep. Hope i can meet her.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!,0.98,0.02,0.97,0.01,0.01,0.01,0.98,0.02,0.96,0.03,0.005,0.003,0.002
Did you stitch his trouser,0.97,0.03,0.95,0.02,0.01,0.02,0.88,0.12,0.94,0.04,0.01,0.005,0.005
All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,0.98,0.02,0.97,0.01,0.01,0.01,0.4,0.6,0.93,0.05,0.01,0.005,0.005
Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!,0.98,0.02,0.97,0.01,0.01,0.01,0.7,0.3,0.95,0.04,0.01,0.0,0.0
On ma way to school. Can you pls send me ashley's number,0.97,0.03,0.96,0.01,0.01,0.02,0.15000000000000002,0.85,0.88,0.07,0.03,0.015,0.005
"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",0.97,0.03,0.95,0.01,0.01,0.03,0.4,0.6,0.8,0.12,0.05,0.02,0.01
"Yes..but they said its IT.,",0.97,0.03,0.95,0.02,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
As in different styles?,0.97,0.03,0.95,0.01,0.01,0.03,0.9,0.1,0.94,0.04,0.01,0.007,0.003
Ok... Then r we meeting later?,0.98,0.02,0.96,0.01,0.01,0.02,0.75,0.25,0.95,0.03,0.01,0.005,0.005
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,0.010000000000000009,0.99,0.005,0.005,0.1,0.89,0.020000000000000018,0.98,0.01,0.05,0.15,0.55,0.24
"What do u reckon as need 2 arrange transport if u can't do it, thanks",0.97,0.03,0.95,0.02,0.01,0.02,0.15000000000000002,0.85,0.9,0.07,0.02,0.007,0.003
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,0.020000000000000018,0.98,0.005,0.01,0.06,0.925,0.020000000000000018,0.98,0.005,0.02,0.1,0.5,0.375
"Thanx 4 the time weve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx",0.98,0.02,0.97,0.005,0.01,0.015,0.97,0.03,0.96,0.03,0.007,0.002,0.001
"I want to show you the world, princess :) how about europe?",0.96,0.04,0.95,0.01,0.02,0.02,0.88,0.12,0.92,0.05,0.02,0.007,0.003
Another month. I need chocolate weed and alcohol.,0.97,0.03,0.96,0.01,0.01,0.02,0.92,0.08,0.94,0.04,0.01,0.007,0.003
"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",0.97,0.03,0.95,0.01,0.01,0.03,0.09999999999999998,0.9,0.7,0.2,0.06,0.03,0.01
"aight we can pick some up, you open before tonight?",0.97,0.03,0.95,0.02,0.01,0.02,0.4,0.6,0.93,0.05,0.01,0.005,0.005
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",0.030000000000000027,0.97,0.01,0.01,0.3,0.68,0.09999999999999998,0.9,0.02,0.15,0.35,0.4,0.08
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,0.030000000000000027,0.97,0.01,0.01,0.85,0.13,0.030000000000000027,0.97,0.01,0.45,0.4,0.12,0.02
I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.93,0.04,0.02,0.007,0.003
What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,0.97,0.03,0.95,0.02,0.01,0.02,0.88,0.12,0.93,0.05,0.01,0.005,0.005
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,0.020000000000000018,0.98,0.01,0.005,0.6,0.385,0.020000000000000018,0.98,0.01,0.15,0.5,0.3,0.04
Yar lor... How u noe? U used dat route too?,0.98,0.02,0.97,0.01,0.01,0.01,0.92,0.08,0.95,0.03,0.01,0.005,0.005
Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,0.98,0.02,0.97,0.01,0.01,0.01,0.4,0.6,0.93,0.05,0.01,0.005,0.005
S s..first time..dhoni rocks...,0.97,0.03,0.96,0.01,0.02,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.03,0.01,0.005,0.005
I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,0.95,0.05,0.95,0.01,0.02,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
"I'm back &amp; we're packing the car now, I'll let you know if there's room",0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.007,0.003
I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
Have you heard from this week?,0.95,0.05,0.93,0.02,0.02,0.03,0.85,0.15,0.9,0.06,0.03,0.007,0.003
Yup having my lunch buffet now.. U eat already?,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.96,0.03,0.005,0.003,0.002
"Sir, Waiting for your mail.",0.94,0.06,0.9,0.06,0.02,0.02,0.44999999999999996,0.55,0.85,0.1,0.04,0.007,0.003
Are you still getting the goods.,0.95,0.05,0.94,0.02,0.02,0.02,0.88,0.12,0.9,0.06,0.03,0.007,0.003
Still at west coast... Haiz... Ü'll take forever to come back...,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Dear how is chechi. Did you talk to her,0.97,0.03,0.95,0.01,0.01,0.03,0.65,0.35,0.93,0.05,0.01,0.005,0.005
"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",0.97,0.03,0.96,0.01,0.01,0.02,0.92,0.08,0.95,0.03,0.01,0.005,0.005
Den wat will e schedule b lk on sun?,0.97,0.03,0.95,0.02,0.01,0.02,0.6,0.4,0.93,0.05,0.01,0.005,0.005
Am also doing in cbe only. But have to pay.,0.97,0.03,0.95,0.02,0.01,0.02,0.95,0.05,0.93,0.04,0.02,0.007,0.003
Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.,0.98,0.02,0.97,0.01,0.01,0.01,0.44999999999999996,0.55,0.9,0.07,0.02,0.007,0.003
Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,0.98,0.02,0.97,0.01,0.01,0.01,0.92,0.08,0.95,0.04,0.01,0.0,0.0
Nan sonathaya soladha. Why boss?,0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.94,0.04,0.01,0.005,0.005
What time you thinkin of goin?,0.97,0.03,0.96,0.01,0.01,0.02,0.75,0.25,0.94,0.04,0.01,0.005,0.005
Probably earlier than that if the station's where I think it is,0.98,0.02,0.96,0.02,0.01,0.01,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Hey we can go jazz power yoga hip hop kb and yogasana,0.97,0.03,0.95,0.02,0.02,0.01,0.88,0.12,0.94,0.04,0.01,0.005,0.005
But am going to college pa. What to do. are else ill come there it self. Pa.,0.97,0.03,0.96,0.01,0.01,0.02,0.75,0.25,0.93,0.05,0.01,0.005,0.005
Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,0.96,0.04,0.95,0.005,0.01,0.035,0.95,0.05,0.93,0.04,0.02,0.008,0.002
"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come...",0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Going on nothing great.bye,0.97,0.03,0.95,0.01,0.01,0.03,0.97,0.03,0.94,0.04,0.01,0.005,0.005
No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.95,0.03,0.01,0.005,0.005
"Yes, my reg is  Ciao!",0.96,0.04,0.94,0.02,0.01,0.03,0.95,0.05,0.93,0.05,0.015,0.004,0.001
"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",0.96,0.04,0.94,0.005,0.005,0.05,0.95,0.05,0.9,0.06,0.02,0.015,0.005
Please ask mummy to call father,0.97,0.03,0.95,0.01,0.01,0.03,0.4,0.6,0.9,0.07,0.02,0.007,0.003
URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,0.010000000000000009,0.99,0.005,0.005,0.02,0.97,0.010000000000000009,0.99,0.005,0.02,0.08,0.45,0.445
"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",0.88,0.12,0.8500000000000001,0.010000000000000002,0.060000000000000005,0.08000000000000002,0.97,0.03,0.9,0.07,0.02,0.007,0.003
"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",0.98,0.02,0.96,0.01,0.01,0.02,0.4,0.6,0.9,0.06,0.02,0.01,0.01
Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.04,0.01,0.0,0.0
"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",0.010000000000000009,0.99,0.005,0.005,0.06,0.93,0.010000000000000009,0.99,0.005,0.02,0.08,0.5,0.395
I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.95,0.03,0.01,0.005,0.005
"I can probably come by, everybody's done around  &lt;#&gt;  right?",0.98,0.02,0.97,0.01,0.01,0.01,0.65,0.35,0.95,0.04,0.01,0.0,0.0
So that means you still think of teju,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,0.06999999999999995,0.93,0.01,0.06,0.55,0.38,0.4,0.6,0.05,0.25,0.4,0.25,0.05
K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,0.97,0.03,0.95,0.01,0.01,0.03,0.28,0.72,0.7,0.15,0.1,0.04,0.01
But i have to. I like to have love and arrange.,0.96,0.04,0.95,0.01,0.01,0.03,0.95,0.05,0.94,0.04,0.015,0.004,0.001
You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,0.010000000000000009,0.99,0.005,0.005,0.03,0.96,0.010000000000000009,0.99,0.005,0.02,0.08,0.5,0.395
Hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing,0.98,0.02,0.97,0.01,0.01,0.01,0.65,0.35,0.95,0.04,0.005,0.003,0.002
Both :) i shoot big loads so get ready!,0.94,0.06,0.92,0.01,0.03,0.04,0.92,0.08,0.9,0.06,0.03,0.007,0.003
K:)k:)what are detail you want to transfer?acc no enough?,0.97,0.03,0.95,0.01,0.01,0.03,0.4,0.6,0.85,0.08,0.04,0.02,0.01
Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,0.020000000000000018,0.98,0.01,0.01,0.55,0.43,0.030000000000000027,0.97,0.01,0.15,0.45,0.32,0.07
"It‘s £6 to get in, is that ok?",0.97,0.03,0.95,0.01,0.02,0.02,0.4,0.6,0.9,0.07,0.02,0.007,0.003
Dont let studying stress you out. L8r.,0.97,0.03,0.96,0.01,0.02,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Love it! I want to flood that pretty pussy with cum...,0.88,0.12,0.85,0.01,0.03,0.11,0.95,0.05,0.88,0.06,0.04,0.015,0.005
"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
"Awesome question with a cute answer: Someone asked a boy ""how is ur life?"" . . He smiled &amp; answered: . . ""She is fine!"" Gudnite",0.88,0.12,0.88,0.01,0.07,0.04,0.97,0.03,0.93,0.06,0.01,0.0,0.0
"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",0.88,0.12,0.8500000000000001,0.010000000000000002,0.060000000000000005,0.08000000000000002,0.96,0.04,0.9,0.07,0.02,0.007,0.003
No. I.ll meet you in the library,0.97,0.03,0.96,0.01,0.01,0.02,0.92,0.08,0.95,0.03,0.01,0.005,0.005
No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.04,0.01,0.0,0.0
Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,0.98,0.02,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
"He will, you guys close?",0.97,0.03,0.96,0.01,0.01,0.02,0.65,0.35,0.95,0.03,0.01,0.005,0.005
"Nah, I'm a perpetual DD",0.97,0.03,0.95,0.01,0.01,0.03,0.97,0.03,0.93,0.05,0.01,0.005,0.005
Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.007,0.003
How come guoyang go n tell her? Then u told her?,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.96,0.03,0.01,0.0,0.0
"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …",0.97,0.03,0.96,0.01,0.01,0.02,0.96,0.04,0.95,0.03,0.01,0.005,0.005
Ok k..sry i knw 2 siva..tats y i askd..,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Hey you around? I've got enough for a half + the ten I owe you,0.96,0.04,0.94,0.01,0.01,0.04,0.4,0.6,0.85,0.08,0.05,0.015,0.005
I am late. I will be there at,0.97,0.03,0.96,0.02,0.01,0.01,0.96,0.04,0.95,0.03,0.01,0.005,0.005
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0.94,0.06,0.9,0.05,0.02,0.03,0.28,0.72,0.72,0.2,0.05,0.02,0.01
"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""....",0.88,0.12,0.85,0.01,0.07,0.07,0.97,0.03,0.9,0.08,0.015,0.004,0.001
How i noe... Did ü specify da domain as nusstu... Ü still in sch...,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.04,0.01,0.0,0.0
Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.005,0.003,0.002
It has issues right now. Ill fix for her by tomorrow.,0.97,0.03,0.95,0.02,0.01,0.02,0.96,0.04,0.94,0.04,0.01,0.005,0.005
That's a shame! Maybe cld meet for few hrs tomo?,0.98,0.02,0.97,0.01,0.01,0.01,0.65,0.35,0.95,0.03,0.01,0.005,0.005
"Better than bb. If he wont use it, his wife will or them doctor",0.97,0.03,0.95,0.01,0.02,0.02,0.95,0.05,0.93,0.05,0.01,0.005,0.005
CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
.Please charge my mobile when you get up in morning.,0.97,0.03,0.96,0.01,0.01,0.02,0.85,0.15,0.93,0.05,0.01,0.005,0.005
83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541,0.020000000000000018,0.98,0.005,0.005,0.09,0.9,0.15000000000000002,0.85,0.02,0.06,0.17,0.5,0.25
"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",0.010000000000000009,0.99,0.005,0.005,0.03,0.96,0.010000000000000009,0.99,0.005,0.02,0.08,0.5,0.395
Oops. 4 got that bit.,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,0.030000000000000027,0.97,0.01,0.02,0.5,0.47,0.030000000000000027,0.97,0.01,0.12,0.4,0.37,0.1
PS U no ur a grown up now right?,0.97,0.03,0.95,0.01,0.01,0.03,0.88,0.12,0.9,0.07,0.02,0.01,0.0
After completed degree. There is no use in joining finance.,0.97,0.03,0.95,0.01,0.02,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
"I guess you could be as good an excuse as any, lol.",0.97,0.03,0.95,0.01,0.02,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",0.30000000000000004,0.7,0.03,0.35,0.17,0.45,0.19999999999999996,0.8,0.05,0.2,0.4,0.28,0.07
I will send them to your email. Do you mind  &lt;#&gt;  times per night?,0.97,0.03,0.95,0.01,0.01,0.03,0.75,0.25,0.9,0.07,0.02,0.007,0.003
Hey they r not watching movie tonight so i'll prob b home early...,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.005,0.003,0.002
Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.007,0.003
Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.95,0.03,0.01,0.005,0.005
"We are hoping to get away by 7, from Langport. You still up for town tonight?",0.98,0.02,0.97,0.01,0.01,0.01,0.4,0.6,0.95,0.04,0.01,0.0,0.0
"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",0.92,0.08,0.9,0.01,0.03,0.06,0.95,0.05,0.9,0.08,0.015,0.004,0.001
